Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
3.4640e-02,0.0285969
3.4672e-02,0.028325
3.4704e-02,0.02805
3.4736e-02,0.0273281
3.4768e-02,0.0274344
3.4800e-02,0.0276969
3.4832e-02,0.0279875
3.4864e-02,0.0283062
3.4896e-02,0.0284719
3.4928e-02,0.0286094
3.4960e-02,0.0285594
3.4992e-02,0.0284594
3.5024e-02,0.0285719
3.5056e-02,0.0293469
3.5088e-02,0.0299969
3.5120e-02,0.0297094
3.5152e-02,0.0288906
3.5184e-02,0.0279094
3.5216e-02,0.0271906
3.5248e-02,0.0273187
3.5280e-02,0.0280656
3.5312e-02,0.0284687
3.5344e-02,0.027925
3.5376e-02,0.0278875
3.5408e-02,0.0278687
3.5440e-02,0.027675
3.5472e-02,0.0272719
3.5504e-02,0.0276719
3.5536e-02,0.0272187
3.5568e-02,0.0267406
3.5600e-02,0.0271375
3.5632e-02,0.0268312
3.5664e-02,0.0265094
3.5696e-02,0.0271437
3.5728e-02,0.0273406
3.5760e-02,0.0271094
3.5792e-02,0.0275031
3.5824e-02,0.0272781
3.5856e-02,0.0273406
3.5888e-02,0.0267156
3.5920e-02,0.0277594
3.5952e-02,0.0281031
3.5984e-02,0.0281531
3.6016e-02,0.0290562
3.6048e-02,0.0286125
3.6080e-02,0.0276937
3.6112e-02,0.0269969
3.6144e-02,0.0272281
3.6176e-02,0.0271812
3.6208e-02,0.0265094
3.6240e-02,0.0266812
3.6272e-02,0.0268906
3.6304e-02,0.0270312
3.6336e-02,0.0272281
3.6368e-02,0.0274062
3.6400e-02,0.0270062
3.6432e-02,0.0271031
3.6464e-02,0.027675
3.6496e-02,0.0274062
3.6528e-02,0.0272187
3.6560e-02,0.0272031
3.6592e-02,0.0278969
3.6624e-02,0.0280219
3.6656e-02,0.0282594
3.6688e-02,0.0294656
3.6720e-02,0.0292656
3.6752e-02,0.0292312
3.6784e-02,0.0288594
3.6816e-02,0.0288219
3.6848e-02,0.027975
