Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
2.8944e-02,0.031525
2.8976e-02,0.0310781
2.9008e-02,0.0314031
2.9040e-02,0.0312219
2.9072e-02,0.0320281
2.9104e-02,0.0324906
2.9136e-02,0.0332469
2.9168e-02,0.0325062
2.9200e-02,0.0334156
2.9232e-02,0.0329594
2.9264e-02,0.0326375
2.9296e-02,0.0319531
2.9328e-02,0.0314156
2.9360e-02,0.0311906
2.9392e-02,0.0315906
2.9424e-02,0.0320062
2.9456e-02,0.0326469
2.9488e-02,0.0332094
2.9520e-02,0.0319125
2.9552e-02,0.0311562
2.9584e-02,0.0308281
2.9616e-02,0.0315594
2.9648e-02,0.0318812
2.9680e-02,0.0319937
2.9712e-02,0.03195
2.9744e-02,0.0329844
2.9776e-02,0.03265
2.9808e-02,0.0327406
2.9840e-02,0.0331219
2.9872e-02,0.0324469
2.9904e-02,0.0316625
2.9936e-02,0.031675
2.9968e-02,0.0313875
3.0000e-02,0.0316625
3.0032e-02,0.0323812
3.0064e-02,0.0327687
3.0096e-02,0.0330375
3.0128e-02,0.0324312
3.0160e-02,0.0313844
3.0192e-02,0.0326156
3.0224e-02,0.0333187
3.0256e-02,0.0330719
3.0288e-02,0.0322
3.0320e-02,0.0317031
3.0352e-02,0.0328781
3.0384e-02,0.0330031
3.0416e-02,0.0326937
3.0448e-02,0.0329312
3.0480e-02,0.0333187
3.0512e-02,0.0336687
3.0544e-02,0.0329094
3.0576e-02,0.0316719
3.0608e-02,0.0312562
3.0640e-02,0.0311969
3.0672e-02,0.0307812
3.0704e-02,0.0306156
3.0736e-02,0.0307844
3.0768e-02,0.0315625
3.0800e-02,0.0322
3.0832e-02,0.0329531
3.0864e-02,0.0320156
3.0896e-02,0.031975
3.0928e-02,0.0322562
3.0960e-02,0.0318375
3.0992e-02,0.0318437
3.1024e-02,0.0320187
3.1056e-02,0.0322312
3.1088e-02,0.0322375
3.1120e-02,0.0316844
3.1152e-02,0.0322312
3.1184e-02,0.0321281
3.1216e-02,0.0324875
3.1248e-02,0.0326406
3.1280e-02,0.0329625
3.1312e-02,0.0323062
3.1344e-02,0.0314719
3.1376e-02,0.0309906
3.1408e-02,0.0315469
3.1440e-02,0.0314187
3.1472e-02,0.0321969
3.1504e-02,0.031775
3.1536e-02,0.0306562
3.1568e-02,0.0299437
3.1600e-02,0.0299656
3.1632e-02,0.0304219
3.1664e-02,0.0303469
3.1696e-02,0.0304656
3.1728e-02,0.0309812
3.1760e-02,0.0309469
3.1792e-02,0.0308812
3.1824e-02,0.0300531
3.1856e-02,0.0306281
3.1888e-02,0.0311
3.1920e-02,0.0308656
3.1952e-02,0.0315844
3.1984e-02,0.0321937
3.2016e-02,0.0323531
3.2048e-02,0.0327437
3.2080e-02,0.0327625
3.2112e-02,0.0322844
3.2144e-02,0.0313937
3.2176e-02,0.0306656
3.2208e-02,0.0296594
3.2240e-02,0.0316969
3.2272e-02,0.0335094
3.2304e-02,0.0337375
3.2336e-02,0.0337281
3.2368e-02,0.0335906
3.2400e-02,0.0334719
3.2432e-02,0.0335687
3.2464e-02,0.0329531
3.2496e-02,0.0331344
3.2528e-02,0.032675
3.2560e-02,0.0327312
