Model,MSO2024
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.00768049,
Filter Frequency,2e+08,
Record Length,3923,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.002,
Label,,
TIME,CH1,CH1 Peak Detect
-1.7849e+01,-0.00252,0.0014
-1.7842e+01,-0.0026,-0.00604
-1.7834e+01,-0.00228,0.00268
-1.7826e+01,-0.00228,-0.00668
-1.7819e+01,-0.00212,0.001
-1.7811e+01,-0.00252,-0.00564
-1.7803e+01,-0.0022,0.00268
-1.7796e+01,-0.00212,-0.00748
-1.7788e+01,-0.00196,0.00204
-1.7780e+01,-0.00124,-0.00556
-1.7773e+01,-0.00228,0.00164
-1.7765e+01,-0.00212,-0.00644
-1.7757e+01,-0.00196,-0.00092
-1.7750e+01,-0.00196,-0.0038
-1.7742e+01,-0.00212,0.00148
-1.7734e+01,-0.00228,-0.00572
-1.7727e+01,-0.00268,0.00212
-1.7719e+01,-0.00188,-0.00636
-1.7711e+01,-0.00244,0.00268
-1.7704e+01,-0.00244,-0.007
-1.7696e+01,-0.00244,0.00268
-1.7688e+01,-0.0018,-0.00668
-1.7680e+01,-0.00212,0.0022
-1.7673e+01,-0.00228,-0.00668
-1.7665e+01,-0.0022,0.00236
-1.7657e+01,-0.00132,-0.00604
-1.7650e+01,-0.00204,0.0014
-1.7642e+01,-0.00268,-0.00612
-1.7634e+01,-0.00252,0.00268
-1.7627e+01,-0.00292,-0.00724
-1.7619e+01,-0.00212,0.00084
-1.7611e+01,-0.00244,-0.005
-1.7604e+01,-0.00228,0.00172
-1.7596e+01,-0.00244,-0.0066
-1.7588e+01,-0.00236,0.00268
-1.7581e+01,-0.0022,-0.00716
-1.7573e+01,-0.00268,0.00268
-1.7565e+01,-0.00252,-0.00772
-1.7558e+01,-0.00268,0.00012
-1.7550e+01,-0.00244,-0.00492
-1.7542e+01,-0.00188,0.00148
-1.7535e+01,-0.00244,-0.00668
-1.7527e+01,-0.00276,0.00212
-1.7519e+01,-0.00284,-0.00732
-1.7512e+01,-0.0022,-0.00012
-1.7504e+01,-0.00244,-0.00516
-1.7496e+01,-0.00276,0.0006
-1.7488e+01,-0.00268,-0.00556
-1.7481e+01,-0.00228,0.00156
-1.7473e+01,-0.0022,-0.00676
-1.7465e+01,-0.00236,0.00268
-1.7458e+01,-0.00228,-0.0086
-1.7450e+01,-0.00276,0.0026
-1.7442e+01,-0.0026,-0.00724
-1.7435e+01,-0.00284,0.00068
-1.7427e+01,-0.00276,-0.00588
-1.7419e+01,-0.00252,0.00204
-1.7412e+01,-0.00284,-0.00748
-1.7404e+01,-0.0026,0.00156
-1.7396e+01,-0.00236,-0.00636
-1.7389e+01,-0.00284,0.00108
-1.7381e+01,-0.00268,-0.00684
-1.7373e+01,-0.00276,-0.00036
-1.7366e+01,-0.00252,-0.00572
-1.7358e+01,-0.00268,0.00028
-1.7350e+01,-0.00292,-0.0058
-1.7343e+01,-0.00324,0.00012
-1.7335e+01,-0.00244,-0.00644
-1.7327e+01,-0.00276,0.00204
-1.7320e+01,-0.0026,-0.0082
-1.7312e+01,-0.00228,0.00092
-1.7304e+01,-0.00268,-0.00692
-1.7296e+01,-0.0026,0.00124
-1.7289e+01,-0.00196,-0.00524
-1.7281e+01,-0.00228,0.0026
-1.7273e+01,-0.0022,-0.00764
-1.7266e+01,-0.00204,0.0014
-1.7258e+01,-0.00212,-0.00572
-1.7250e+01,-0.00236,0.00116
-1.7243e+01,-0.0022,-0.00588
-1.7235e+01,-0.00212,0.0022
-1.7227e+01,-0.00236,-0.00748
-1.7220e+01,-0.00228,0.00196
-1.7212e+01,-0.00308,-0.00796
-1.7204e+01,-0.00252,0.00236
-1.7197e+01,-0.00284,-0.0074
-1.7189e+01,-0.00316,0.00084
-1.7181e+01,-0.00292,-0.00564
-1.7174e+01,-0.00268,-0.0014
-1.7166e+01,-0.00268,-0.00372
-1.7158e+01,-0.00244,0.0022
-1.7151e+01,-0.00244,-0.00748
-1.7143e+01,-0.00228,0.00268
-1.7135e+01,-0.00244,-0.0062
-1.7127e+01,-0.00244,0.0022
-1.7120e+01,-0.00188,-0.00628
-1.7112e+01,-0.0026,0.00244
-1.7104e+01,-0.00228,-0.00716
-1.7097e+01,-0.00228,0.00156
-1.7089e+01,-0.00188,-0.00524
-1.7081e+01,-0.00204,0.00044
-1.7074e+01,-0.00164,-0.00468
-1.7066e+01,-0.00212,0.00268
-1.7058e+01,-0.00132,-0.0062
-1.7051e+01,-0.00116,0.00132
-1.7043e+01,-0.00156,-0.00492
-1.7035e+01,-0.00132,0.00268
-1.7028e+01,-0.00156,-0.0058
-1.7020e+01,-0.00204,0.00268
-1.7012e+01,-0.00196,-0.00684
