Model,MSO2024
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.00768049,
Filter Frequency,2e+08,
Record Length,3757,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.01,
Label,,
TIME,CH1,CH1 Peak Detect
-1.6045e+01,-0.0042,-0.0142
-1.6037e+01,-0.003,0.007
-1.6029e+01,-0.0038,-0.0142
-1.6022e+01,-0.0034,0.0058
-1.6014e+01,-0.0034,-0.013
-1.6006e+01,-0.0034,0.007
-1.5998e+01,-0.0022,-0.0126
-1.5991e+01,-0.0026,0.0006
-1.5983e+01,-0.0042,-0.007
-1.5975e+01,-0.0022,0.0082
-1.5968e+01,-0.0022,-0.0142
-1.5960e+01,-0.0018,0.009
-1.5952e+01,-0.0026,-0.0154
-1.5945e+01,-0.0034,0.005
-1.5937e+01,-0.0038,-0.0114
-1.5929e+01,-0.0038,0.0058
-1.5922e+01,-0.0026,-0.0122
-1.5914e+01,-0.0038,0.0082
-1.5906e+01,-0.003,-0.0126
-1.5899e+01,-0.003,0.0042
-1.5891e+01,-0.0034,-0.0098
-1.5883e+01,-0.0042,0.003
-1.5876e+01,-0.0026,-0.0094
-1.5868e+01,-0.0026,0.0094
-1.5860e+01,-0.0022,-0.015
-1.5853e+01,-0.0034,0.0046
-1.5845e+01,-0.0038,-0.0114
-1.5837e+01,-0.0034,0.0022
-1.5829e+01,-0.0034,-0.0098
-1.5822e+01,-0.0026,0.0054
-1.5814e+01,-0.003,-0.0122
-1.5806e+01,-0.003,0.0002
-1.5799e+01,-0.0034,-0.0066
-1.5791e+01,-0.0038,0.0066
-1.5783e+01,-0.003,-0.0138
-1.5776e+01,-0.0038,0.0066
-1.5768e+01,-0.0038,-0.0134
-1.5760e+01,-0.0034,0.0034
-1.5753e+01,-0.0046,-0.0102
-1.5745e+01,-0.0042,0.0098
-1.5737e+01,-0.0026,-0.0158
-1.5730e+01,-0.0034,0.005
-1.5722e+01,-0.0038,-0.0126
-1.5714e+01,-0.0038,0.0058
-1.5707e+01,-0.003,-0.0122
-1.5699e+01,-0.003,0.0054
-1.5691e+01,-0.0034,-0.0134
-1.5684e+01,-0.0034,0.0042
-1.5676e+01,-0.003,-0.011
-1.5668e+01,-0.0034,0.005
-1.5661e+01,-0.0042,-0.0138
-1.5653e+01,-0.0042,0.0038
-1.5645e+01,-0.0038,-0.0114
-1.5637e+01,-0.0034,0.0042
-1.5630e+01,-0.003,-0.0118
-1.5622e+01,-0.0026,0.0062
-1.5614e+01,-0.0042,-0.013
-1.5607e+01,-0.0038,0.0022
-1.5599e+01,-0.003,-0.0098
-1.5591e+01,-0.0018,0.0038
-1.5584e+01,-0.0026,-0.011
-1.5576e+01,-0.0038,0.0042
-1.5568e+01,-0.0042,-0.0122
